"Time"	"Function"	"Ncol"	"Nrow"	"Type"
35129	"apply"	10	10	"matrix"
35198	"apply"	10	10	"matrix"
7807	"colSums"	10	10	"matrix"
37964	"apply"	10	10	"matrix"
8069	"colSums"	10	10	"matrix"
36169	"apply"	10	10	"matrix"
8253	"colSums"	10	10	"matrix"
36487	"apply"	10	10	"matrix"
37118	"apply"	10	10	"matrix"
38211	"apply"	10	10	"matrix"
15063	"loop"	10	10	"matrix"
13726	"loop"	10	10	"matrix"
35621	"apply"	10	10	"matrix"
9595	"colSums"	10	10	"matrix"
15102	"loop"	10	10	"matrix"
35897	"apply"	10	10	"matrix"
8112	"colSums"	10	10	"matrix"
16728	"loop"	10	10	"matrix"
36524	"apply"	10	10	"matrix"
34845	"apply"	10	10	"matrix"
7839	"colSums"	10	10	"matrix"
15109	"loop"	10	10	"matrix"
13809	"loop"	10	10	"matrix"
7366	"colSums"	10	10	"matrix"
6237	"colSums"	10	10	"matrix"
6436	"colSums"	10	10	"matrix"
39064	"apply"	10	10	"matrix"
17229	"loop"	10	10	"matrix"
7620	"colSums"	10	10	"matrix"
15574	"loop"	10	10	"matrix"
37677	"apply"	10	10	"matrix"
38675	"apply"	10	10	"matrix"
8238	"colSums"	10	10	"matrix"
15269	"loop"	10	10	"matrix"
14003	"loop"	10	10	"matrix"
35463	"apply"	10	10	"matrix"
9615	"colSums"	10	10	"matrix"
38809	"apply"	10	10	"matrix"
37182	"apply"	10	10	"matrix"
35807	"apply"	10	10	"matrix"
37658	"apply"	10	10	"matrix"
7682	"colSums"	10	10	"matrix"
58162	"apply"	10	10	"matrix"
14217	"colSums"	10	10	"matrix"
27837	"loop"	10	10	"matrix"
11806	"colSums"	10	10	"matrix"
28567	"loop"	10	10	"matrix"
26686	"loop"	10	10	"matrix"
63400	"apply"	10	10	"matrix"
12812	"colSums"	10	10	"matrix"
11680	"colSums"	10	10	"matrix"
23101	"loop"	10	10	"matrix"
21617	"loop"	10	10	"matrix"
65937	"apply"	10	10	"matrix"
15464	"loop"	10	10	"matrix"
40700	"apply"	10	10	"matrix"
9317	"colSums"	10	10	"matrix"
16038	"loop"	10	10	"matrix"
8258	"colSums"	10	10	"matrix"
36296	"apply"	10	10	"matrix"
34661	"apply"	10	10	"matrix"
7722	"colSums"	10	10	"matrix"
14919	"loop"	10	10	"matrix"
15828	"loop"	10	10	"matrix"
17852	"colSums"	10	10	"matrix"
6608	"colSums"	10	10	"matrix"
43141	"apply"	10	10	"matrix"
8759	"colSums"	10	10	"matrix"
41772	"apply"	10	10	"matrix"
8698	"colSums"	10	10	"matrix"
39678	"apply"	10	10	"matrix"
7809	"colSums"	10	10	"matrix"
16615	"colSums"	10	10	"matrix"
7509	"colSums"	10	10	"matrix"
36415	"apply"	10	10	"matrix"
36104	"apply"	10	10	"matrix"
16115	"loop"	10	10	"matrix"
38338	"apply"	10	10	"matrix"
8232	"colSums"	10	10	"matrix"
6832	"colSums"	10	10	"matrix"
15452	"loop"	10	10	"matrix"
6800	"colSums"	10	10	"matrix"
6241	"colSums"	10	10	"matrix"
5933	"colSums"	10	10	"matrix"
6160	"colSums"	10	10	"matrix"
5926	"colSums"	10	10	"matrix"
5843	"colSums"	10	10	"matrix"
5920	"colSums"	10	10	"matrix"
36686	"apply"	10	10	"matrix"
16758	"loop"	10	10	"matrix"
14619	"loop"	10	10	"matrix"
14634	"loop"	10	10	"matrix"
36270	"apply"	10	10	"matrix"
18537	"loop"	10	10	"matrix"
14294	"loop"	10	10	"matrix"
38985	"apply"	10	10	"matrix"
7854	"colSums"	10	10	"matrix"
15300	"loop"	10	10	"matrix"
37768	"apply"	10	10	"matrix"
35363	"apply"	10	10	"matrix"
7896	"colSums"	10	10	"matrix"
6933	"colSums"	10	10	"matrix"
40378	"apply"	10	10	"matrix"
8807	"colSums"	10	10	"matrix"
39439	"apply"	10	10	"matrix"
41492	"apply"	10	10	"matrix"
8872	"colSums"	10	10	"matrix"
41044	"apply"	10	10	"matrix"
16694	"loop"	10	10	"matrix"
39027	"apply"	10	10	"matrix"
73626	"apply"	10	10	"matrix"
39789	"apply"	10	10	"matrix"
38062	"apply"	10	10	"matrix"
8568	"colSums"	10	10	"matrix"
7346	"colSums"	10	10	"matrix"
17978	"loop"	10	10	"matrix"
7653	"colSums"	10	10	"matrix"
6415	"colSums"	10	10	"matrix"
7224	"colSums"	10	10	"matrix"
15278	"loop"	10	10	"matrix"
7119	"colSums"	10	10	"matrix"
40622	"apply"	10	10	"matrix"
8183	"colSums"	10	10	"matrix"
40131	"apply"	10	10	"matrix"
17778	"loop"	10	10	"matrix"
14683	"loop"	10	10	"matrix"
7859	"colSums"	10	10	"matrix"
38801	"apply"	10	10	"matrix"
7572	"colSums"	10	10	"matrix"
40296	"apply"	10	10	"matrix"
37842	"apply"	10	10	"matrix"
36211	"apply"	10	10	"matrix"
18115	"loop"	10	10	"matrix"
39833	"apply"	10	10	"matrix"
8067	"colSums"	10	10	"matrix"
7495	"colSums"	10	10	"matrix"
16650	"loop"	10	10	"matrix"
38371	"apply"	10	10	"matrix"
8168	"colSums"	10	10	"matrix"
6465	"colSums"	10	10	"matrix"
16399	"loop"	10	10	"matrix"
6590	"colSums"	10	10	"matrix"
40551	"apply"	10	10	"matrix"
40076	"apply"	10	10	"matrix"
36990	"apply"	10	10	"matrix"
8396	"colSums"	10	10	"matrix"
40717	"apply"	10	10	"matrix"
7753	"colSums"	10	10	"matrix"
40804	"apply"	10	10	"matrix"
8076	"colSums"	10	10	"matrix"
16806	"loop"	10	10	"matrix"
8229	"colSums"	10	10	"matrix"
6054	"colSums"	10	10	"matrix"
15197	"loop"	10	10	"matrix"
15741	"loop"	10	10	"matrix"
38239	"apply"	10	10	"matrix"
7456	"colSums"	10	10	"matrix"
5892	"colSums"	10	10	"matrix"
14870	"loop"	10	10	"matrix"
6720	"colSums"	10	10	"matrix"
6129	"colSums"	10	10	"matrix"
6074	"colSums"	10	10	"matrix"
14845	"loop"	10	10	"matrix"
37499	"apply"	10	10	"matrix"
14916	"loop"	10	10	"matrix"
34700	"apply"	10	10	"matrix"
7966	"colSums"	10	10	"matrix"
17795	"loop"	10	10	"matrix"
6633	"colSums"	10	10	"matrix"
35242	"apply"	10	10	"matrix"
34231	"apply"	10	10	"matrix"
14135	"loop"	10	10	"matrix"
38084	"apply"	10	10	"matrix"
7920	"colSums"	10	10	"matrix"
6673	"colSums"	10	10	"matrix"
37307	"apply"	10	10	"matrix"
39784	"apply"	10	10	"matrix"
38355	"apply"	10	10	"matrix"
16692	"loop"	10	10	"matrix"
35267	"apply"	10	10	"matrix"
14998	"loop"	10	10	"matrix"
7861	"colSums"	10	10	"matrix"
37168	"apply"	10	10	"matrix"
16230	"loop"	10	10	"matrix"
38090	"apply"	10	10	"matrix"
36358	"apply"	10	10	"matrix"
16594	"loop"	10	10	"matrix"
35780	"apply"	10	10	"matrix"
7813	"colSums"	10	10	"matrix"
15729	"loop"	10	10	"matrix"
35290	"apply"	10	10	"matrix"
8045	"colSums"	10	10	"matrix"
38675	"apply"	10	10	"matrix"
36468	"apply"	10	10	"matrix"
36285	"apply"	10	10	"matrix"
